"","time","HbMet","hpx","precip","residue"
"346",345,NA,NA,NA,NA
"347",346.001,NA,NA,NA,NA
"348",347.001,NA,NA,NA,NA
"349",348.001,NA,NA,NA,NA
"350",349.001,NA,NA,NA,NA
"351",350,NA,NA,NA,NA
"352",351,NA,NA,NA,NA
"353",352,NA,NA,NA,NA
"354",353,NA,NA,NA,NA
"355",354,NA,NA,NA,NA
"356",355,NA,NA,NA,NA
"357",356,NA,NA,NA,NA
"358",357.001,NA,NA,NA,NA
"359",358.001,NA,NA,NA,NA
"360",359.001,NA,NA,NA,NA
"361",360.001,NA,NA,NA,NA
"362",361,NA,NA,NA,NA
"363",362,NA,NA,NA,NA
"364",363,NA,NA,NA,NA
"365",364,NA,NA,NA,NA
"366",365,NA,NA,NA,NA
"367",366,NA,NA,NA,NA
"368",367.001,NA,NA,NA,NA
"369",368.001,NA,NA,NA,NA
"370",369.001,NA,NA,NA,NA
"371",370.001,NA,NA,NA,NA
"372",371,NA,NA,NA,NA
"373",372,NA,NA,NA,NA
"374",373,NA,NA,NA,NA
"375",374,NA,NA,NA,NA
"376",375,NA,NA,NA,NA
"377",376,NA,NA,NA,NA
"378",377,NA,NA,NA,NA
"379",378.001,NA,NA,NA,NA
"380",379.001,NA,NA,NA,NA
"381",380.001,NA,NA,NA,NA
"382",381.001,NA,NA,NA,NA
"383",382,NA,NA,NA,NA
"384",383,NA,NA,NA,NA
"385",384,NA,NA,NA,NA
"386",385,NA,NA,NA,NA
"387",386,NA,NA,NA,NA
"388",387,NA,NA,NA,NA
"389",388.001,NA,NA,NA,NA
"390",389.001,NA,NA,NA,NA
"391",390.001,NA,NA,NA,NA
"392",391.001,NA,NA,NA,NA
"393",392,NA,NA,NA,NA
"394",393,NA,NA,NA,NA
"395",394,NA,NA,NA,NA
"396",395,NA,NA,NA,NA
"397",396,NA,NA,NA,NA
"398",397,NA,NA,NA,NA
"399",398,NA,NA,NA,NA
"400",399.001,NA,NA,NA,NA
"401",400.001,NA,NA,NA,NA
"402",401.001,NA,NA,NA,NA
"403",402.001,NA,NA,NA,NA
"404",403,NA,NA,NA,NA
"405",404,NA,NA,NA,NA
"406",405,NA,NA,NA,NA
"407",406,NA,NA,NA,NA
"408",407,NA,NA,NA,NA
"409",408,NA,NA,NA,NA
"410",409.001,NA,NA,NA,NA
"411",410.001,NA,NA,NA,NA
"412",411.001,NA,NA,NA,NA
"413",412.001,NA,NA,NA,NA
"414",413,NA,NA,NA,NA
"415",414,NA,NA,NA,NA
"416",415,NA,NA,NA,NA
"417",416,NA,NA,NA,NA
"418",417,NA,NA,NA,NA
"419",418,NA,NA,NA,NA
"420",419,NA,NA,NA,NA
"421",420.001,NA,NA,NA,NA
"422",421.001,NA,NA,NA,NA
"423",422.001,NA,NA,NA,NA
"424",423.001,NA,NA,NA,NA
"425",424,NA,NA,NA,NA
"426",425,NA,NA,NA,NA
"427",426,NA,NA,NA,NA
"428",427,NA,NA,NA,NA
"429",428,NA,NA,NA,NA
"430",429,NA,NA,NA,NA
"431",430.001,NA,NA,NA,NA
"432",431.001,NA,NA,NA,NA
"433",432.001,NA,NA,NA,NA
"434",433.001,NA,NA,NA,NA
"435",434,NA,NA,NA,NA
"436",435,NA,NA,NA,NA
"437",436,NA,NA,NA,NA
"438",437,NA,NA,NA,NA
"439",438,NA,NA,NA,NA
"440",439,NA,NA,NA,NA
"441",440,NA,NA,NA,NA
"442",441.001,NA,NA,NA,NA
"443",442.001,NA,NA,NA,NA
"444",443.001,NA,NA,NA,NA
"445",444,NA,NA,NA,NA
"446",445,NA,NA,NA,NA
"447",446,NA,NA,NA,NA
"448",447,NA,NA,NA,NA
"449",448,NA,NA,NA,NA
"450",449,NA,NA,NA,NA
"451",450,NA,NA,NA,NA
"452",451.001,NA,NA,NA,NA
"453",452.001,NA,NA,NA,NA
"454",453.001,NA,NA,NA,NA
"455",454.001,NA,NA,NA,NA
"456",455,NA,NA,NA,NA
"457",456,NA,NA,NA,NA
"458",457,NA,NA,NA,NA
"459",458,NA,NA,NA,NA
"460",459,NA,NA,NA,NA
"461",460,NA,NA,NA,NA
"462",461.001,NA,NA,NA,NA
"463",462.001,NA,NA,NA,NA
"464",463.001,NA,NA,NA,NA
"465",464.001,NA,NA,NA,NA
"466",465,NA,NA,NA,NA
"467",466,NA,NA,NA,NA
"468",467,NA,NA,NA,NA
"469",468,NA,NA,NA,NA
"470",469,NA,NA,NA,NA
"471",470,NA,NA,NA,NA
"472",471,NA,NA,NA,NA
"473",472.001,NA,NA,NA,NA
"474",473.001,NA,NA,NA,NA
"475",474.001,NA,NA,NA,NA
"476",475.001,NA,NA,NA,NA
"477",476,NA,NA,NA,NA
"478",477,NA,NA,NA,NA
"479",478,NA,NA,NA,NA
"480",479,NA,NA,NA,NA
"481",480,NA,NA,NA,NA
"482",481,NA,NA,NA,NA
"483",482.001,NA,NA,NA,NA
"484",483.001,NA,NA,NA,NA
"485",484.001,NA,NA,NA,NA
"486",485.001,NA,NA,NA,NA
"487",486,NA,NA,NA,NA
"488",487,NA,NA,NA,NA
"489",488,NA,NA,NA,NA
"490",489,NA,NA,NA,NA
"491",490,NA,NA,NA,NA
"492",491,NA,NA,NA,NA
"493",492,NA,NA,NA,NA
"494",493.001,NA,NA,NA,NA
"495",494.001,NA,NA,NA,NA
"496",495.001,NA,NA,NA,NA
"497",496.001,NA,NA,NA,NA
"498",497,NA,NA,NA,NA
"499",498,NA,NA,NA,NA
"500",499,NA,NA,NA,NA
"501",500,NA,NA,NA,NA
"502",501,NA,NA,NA,NA
"503",502,NA,NA,NA,NA
"504",503.001,NA,NA,NA,NA
"505",504.001,NA,NA,NA,NA
"506",505.001,NA,NA,NA,NA
"507",506.001,NA,NA,NA,NA
"508",507,NA,NA,NA,NA
"509",508,NA,NA,NA,NA
"510",509,NA,NA,NA,NA
"511",510,NA,NA,NA,NA
"512",511,NA,NA,NA,NA
"513",512,NA,NA,NA,NA
"514",513,NA,NA,NA,NA
"515",514.001,NA,NA,NA,NA
"516",515.001,NA,NA,NA,NA
"517",516.001,NA,NA,NA,NA
"518",517.001,NA,NA,NA,NA
